step,Qwen3_0.6B_Ltr_SFT_r32_a32_d0-single_value/train_runtime_step,Qwen3_0.6B_Ltr_SFT_r32_a32_d0-single_value/train_runtime_timestamp,Qwen3_0.6B_Ltr_SFT_r16_a16_d0-single_value/train_runtime_step,Qwen3_0.6B_Ltr_SFT_r16_a16_d0-single_value/train_runtime_timestamp,Qwen3_0.6B_Ltr_SFT_r8_a8_d0-single_value/train_runtime_step,Qwen3_0.6B_Ltr_SFT_r8_a8_d0-single_value/train_runtime_timestamp
5,21.0745,1779249005000,20.6894,1779248046000,20.8682,1779247096000
10,35.5235,1779249020000,35.5882,1779248061000,36.8359,1779247112000
15,50.3806,1779249035000,50.437,1779248075000,53.1357,1779247128000
20,66.3453,1779249051000,66.0181,1779248091000,68.7193,1779247143000
25,82.9309,1779249067000,80.6506,1779248106000,85.0103,1779247160000
30,98.5445,1779249083000,95.7706,1779248121000,98.9536,1779247174000
35,116.9029,1779249101000,112.2381,1779248137000,115.5981,1779247190000
40,133.5366,1779249118000,127.9809,1779248153000,131.7115,1779247206000
45,150.257,1779249134000,144.7071,1779248170000,149.167,1779247224000
50,167.3826,1779249152000,160.7886,1779248186000,164.3715,1779247239000
55,185.4517,1779249170000,177.1022,1779248202000,181.268,1779247256000
60,202.6199,1779249187000,192.4601,1779248218000,199.254,1779247274000
65,218.2256,1779249202000,208.5858,1779248234000,214.9979,1779247290000
70,234.5883,1779249219000,223.212,1779248248000,229.1428,1779247304000
75,249.7783,1779249234000,237.8294,1779248263000,246.671,1779247321000
80,265.3497,1779249250000,252.7104,1779248278000,262.0023,1779247337000
85,278.7891,1779249263000,266.2562,1779248291000,275.498,1779247350000
90,293.8115,1779249278000,282.2896,1779248307000,290.6034,1779247365000
95,310.28,1779249294000,297.3332,1779248322000,308.8444,1779247384000
100,325.2448,1779249309000,312.5252,1779248338000,326.1444,1779247401000
105,351.974,1779249336000,336.282,1779248361000,350.1392,1779247425000
110,367.6398,1779249352000,352.3008,1779248377000,367.391,1779247442000
115,383.5794,1779249368000,367.6142,1779248393000,382.9428,1779247458000
120,401.1745,1779249385000,382.7422,1779248408000,399.0542,1779247474000
125,416.178,1779249400000,400.0295,1779248425000,414.0745,1779247489000
130,432.4659,1779249417000,415.2277,1779248440000,429.6404,1779247504000
135,449.4343,1779249434000,429.2804,1779248454000,443.8033,1779247518000
140,465.5433,1779249450000,444.0804,1779248469000,459.8609,1779247535000
145,481.2683,1779249465000,458.3633,1779248483000,475.5756,1779247550000
150,497.659,1779249482000,475.6517,1779248501000,490.499,1779247565000
155,513.691,1779249498000,491.4635,1779248517000,506.3438,1779247581000
160,530.3098,1779249514000,507.2274,1779248532000,522.3721,1779247597000
165,546.2233,1779249530000,521.8442,1779248547000,537.0631,1779247612000
170,560.6318,1779249545000,535.3967,1779248560000,549.5896,1779247624000
175,575.6667,1779249560000,552.1272,1779248577000,566.8595,1779247642000
180,591.7062,1779249576000,567.9847,1779248593000,581.4293,1779247656000
185,608.0678,1779249592000,584.7404,1779248610000,596.4545,1779247671000
190,624.2523,1779249608000,600.1575,1779248625000,612.3054,1779247687000
195,639.9131,1779249624000,615.2634,1779248640000,627.9652,1779247703000
200,656.5925,1779249641000,631.4088,1779248656000,643.5296,1779247718000
205,682.7301,1779249667000,655.0044,1779248680000,666.2106,1779247741000
210,699.9938,1779249684000,670.0381,1779248695000,684.9621,1779247760000
215,716.0038,1779249700000,684.5893,1779248710000,700.9882,1779247776000
220,731.9688,1779249716000,703.5665,1779248729000,717.1199,1779247792000
225,748.9602,1779249733000,721.5774,1779248747000,733.1255,1779247808000
230,764.9447,1779249749000,738.8932,1779248764000,750.0752,1779247825000
235,780.6013,1779249765000,755.9105,1779248781000,767.6511,1779247842000
240,795.4651,1779249780000,771.3802,1779248796000,784.2845,1779247859000
245,812.1212,1779249796000,787.2664,1779248812000,802.5711,1779247877000
250,827.5072,1779249812000,802.4976,1779248828000,819.5354,1779247894000
255,841.7047,1779249826000,817.1988,1779248842000,831.8349,1779247907000
