step,Qwen3_0.6B_Ltr_SFT_r32_a32_d0-train/learning_rate_step,Qwen3_0.6B_Ltr_SFT_r32_a32_d0-train/learning_rate_timestamp,Qwen3_0.6B_Ltr_SFT_r16_a16_d0-train/learning_rate_step,Qwen3_0.6B_Ltr_SFT_r16_a16_d0-train/learning_rate_timestamp,Qwen3_0.6B_Ltr_SFT_r8_a8_d0-train/learning_rate_step,Qwen3_0.6B_Ltr_SFT_r8_a8_d0-train/learning_rate_timestamp
5,4.9969649804857257e-05,1779249005000,4.9969649804857257e-05,1779248046000,4.9969649804857257e-05,1779247096000
10,4.984647842238185e-05,1779249020000,4.984647842238185e-05,1779248061000,4.984647842238185e-05,1779247112000
15,4.9629055836687665e-05,1779249035000,4.9629055836687665e-05,1779248075000,4.9629055836687665e-05,1779247128000
20,4.931820680611512e-05,1779249051000,4.931820680611512e-05,1779248091000,4.931820680611512e-05,1779247143000
25,4.891511048751102e-05,1779249067000,4.891511048751102e-05,1779248106000,4.891511048751102e-05,1779247160000
30,4.842129596328277e-05,1779249083000,4.842129596328277e-05,1779248121000,4.842129596328277e-05,1779247174000
35,4.783863644106502e-05,1779249101000,4.783863644106502e-05,1779248137000,4.783863644106502e-05,1779247190000
40,4.716934214800155e-05,1779249118000,4.716934214800155e-05,1779248153000,4.716934214800155e-05,1779247206000
45,4.641595194659657e-05,1779249134000,4.641595194659657e-05,1779248170000,4.641595194659657e-05,1779247224000
50,4.558132370393968e-05,1779249152000,4.558132370393968e-05,1779248186000,4.558132370393968e-05,1779247239000
55,4.4668623450837085e-05,1779249170000,4.4668623450837085e-05,1779248202000,4.4668623450837085e-05,1779247256000
60,4.368131337197227e-05,1779249187000,4.368131337197227e-05,1779248218000,4.368131337197227e-05,1779247274000
65,4.262313867265368e-05,1779249202000,4.262313867265368e-05,1779248234000,4.262313867265368e-05,1779247290000
70,4.149811337196807e-05,1779249219000,4.149811337196807e-05,1779248248000,4.149811337196807e-05,1779247304000
75,4.031050507623125e-05,1779249234000,4.031050507623125e-05,1779248263000,4.031050507623125e-05,1779247321000
80,3.906481879049558e-05,1779249250000,3.906481879049558e-05,1779248278000,3.906481879049558e-05,1779247337000
85,3.7765779829522675e-05,1779249263000,3.7765779829522675e-05,1779248291000,3.7765779829522675e-05,1779247350000
90,3.641831589304602e-05,1779249278000,3.641831589304602e-05,1779248307000,3.641831589304602e-05,1779247365000
95,3.502753837331797e-05,1779249294000,3.502753837331797e-05,1779248322000,3.502753837331797e-05,1779247384000
100,3.3598722965848204e-05,1779249309000,3.3598722965848204e-05,1779248338000,3.3598722965848204e-05,1779247401000
105,3.2137289656883556e-05,1779249336000,3.2137289656883556e-05,1779248361000,3.2137289656883556e-05,1779247425000
110,3.064878216354369e-05,1779249352000,3.064878216354369e-05,1779248377000,3.064878216354369e-05,1779247442000
115,2.913884690460325e-05,1779249368000,2.913884690460325e-05,1779248393000,2.913884690460325e-05,1779247458000
120,2.761321158169134e-05,1779249385000,2.761321158169134e-05,1779248408000,2.761321158169134e-05,1779247474000
125,2.6077663452157397e-05,1779249400000,2.6077663452157397e-05,1779248425000,2.6077663452157397e-05,1779247489000
130,2.453802737602176e-05,1779249417000,2.453802737602176e-05,1779248440000,2.453802737602176e-05,1779247504000
135,2.3000143720286465e-05,1779249434000,2.3000143720286465e-05,1779248454000,2.3000143720286465e-05,1779247518000
140,2.1469846204422723e-05,1779249450000,2.1469846204422723e-05,1779248469000,2.1469846204422723e-05,1779247535000
145,1.995293977107475e-05,1779249465000,1.995293977107475e-05,1779248483000,1.995293977107475e-05,1779247550000
150,1.8455178565923992e-05,1779249482000,1.8455178565923992e-05,1779248501000,1.8455178565923992e-05,1779247565000
155,1.6982244110243627e-05,1779249498000,1.6982244110243627e-05,1779248517000,1.6982244110243627e-05,1779247581000
160,1.5539723748942245e-05,1779249514000,1.5539723748942245e-05,1779248532000,1.5539723748942245e-05,1779247597000
165,1.413308945585088e-05,1779249530000,1.413308945585088e-05,1779248547000,1.413308945585088e-05,1779247612000
170,1.2767677076651911e-05,1779249545000,1.2767677076651911e-05,1779248560000,1.2767677076651911e-05,1779247624000
175,1.1448666088188764e-05,1779249560000,1.1448666088188764e-05,1779248577000,1.1448666088188764e-05,1779247642000
180,1.018105995093613e-05,1779249576000,1.018105995093613e-05,1779248593000,1.018105995093613e-05,1779247656000
185,8.969667129160545e-06,1779249592000,8.969667129160545e-06,1779248610000,8.969667129160545e-06,1779247671000
190,7.819082850768434e-06,1779249608000,7.819082850768434e-06,1779248625000,7.819082850768434e-06,1779247687000
195,6.733671676032674e-06,1779249624000,6.733671676032674e-06,1779248640000,6.733671676032674e-06,1779247703000
200,5.717550941320482e-06,1779249641000,5.717550941320482e-06,1779248656000,5.717550941320482e-06,1779247718000
205,4.7745751406263165e-06,1779249667000,4.7745751406263165e-06,1779248680000,4.7745751406263165e-06,1779247741000
210,3.908321304155846e-06,1779249684000,3.908321304155846e-06,1779248695000,3.908321304155846e-06,1779247760000
215,3.1220754294251833e-06,1779249700000,3.1220754294251833e-06,1779248710000,3.1220754294251833e-06,1779247776000
220,2.4188200163467793e-06,1779249716000,2.4188200163467793e-06,1779248729000,2.4188200163467793e-06,1779247792000
225,1.801222753585638e-06,1779249733000,1.801222753585638e-06,1779248747000,1.801222753585638e-06,1779247808000
230,1.2716263991024715e-06,1779249749000,1.2716263991024715e-06,1779248764000,1.2716263991024715e-06,1779247825000
235,8.320398932703144e-07,1779249765000,8.320398932703144e-07,1779248781000,8.320398932703144e-07,1779247842000
240,4.841307382755566e-07,1779249780000,4.841307382755566e-07,1779248796000,4.841307382755566e-07,1779247859000
245,2.2921867271099295e-07,1779249796000,2.2921867271099295e-07,1779248812000,2.2921867271099295e-07,1779247877000
250,6.827066535529946e-08,1779249812000,6.827066535529946e-08,1779248828000,6.827066535529946e-08,1779247894000
255,1.8972471292344473e-09,1779249826000,1.8972471292344473e-09,1779248842000,1.8972471292344473e-09,1779247907000
