step,Qwen3_0.6B_Ltr_SFT_r32_a32_d0-train/loss_step,Qwen3_0.6B_Ltr_SFT_r32_a32_d0-train/loss_timestamp,Qwen3_0.6B_Ltr_SFT_r16_a16_d0-train/loss_step,Qwen3_0.6B_Ltr_SFT_r16_a16_d0-train/loss_timestamp,Qwen3_0.6B_Ltr_SFT_r8_a8_d0-train/loss_step,Qwen3_0.6B_Ltr_SFT_r8_a8_d0-train/loss_timestamp
5,2.6531856536865233,1779249005000,2.7026357650756836,1779248046000,2.72186222076416,1779247096000
10,2.541885185241699,1779249020000,2.6787939071655273,1779248061000,2.7769378662109374,1779247112000
15,2.2955757141113278,1779249035000,2.436818504333496,1779248075000,2.5895341873168944,1779247128000
20,2.234409523010254,1779249051000,2.3259952545166014,1779248091000,2.4682117462158204,1779247143000
25,2.25453987121582,1779249067000,2.3433996200561524,1779248106000,2.4934194564819334,1779247160000
30,2.2311399459838865,1779249083000,2.3061088562011722,1779248121000,2.4333942413330076,1779247174000
35,2.1427316665649414,1779249101000,2.192762756347656,1779248137000,2.2728769302368166,1779247190000
40,2.132447052001953,1779249118000,2.1657230377197267,1779248153000,2.2485576629638673,1779247206000
45,2.086598014831543,1779249134000,2.1134925842285157,1779248170000,2.1885828018188476,1779247224000
50,2.1698413848876954,1779249152000,2.19637508392334,1779248186000,2.246272850036621,1779247239000
55,2.204325485229492,1779249170000,2.228607749938965,1779248202000,2.26922550201416,1779247256000
60,2.0782634735107424,1779249187000,2.1010271072387696,1779248218000,2.1395992279052733,1779247274000
65,2.0988115310668944,1779249202000,2.1157342910766603,1779248234000,2.145574378967285,1779247290000
70,2.1952770233154295,1779249219000,2.2139280319213865,1779248248000,2.237606239318848,1779247304000
75,2.120819854736328,1779249234000,2.142783355712891,1779248263000,2.1669218063354494,1779247321000
80,2.187775421142578,1779249250000,2.2071651458740233,1779248278000,2.2273107528686524,1779247337000
85,2.1579868316650392,1779249263000,2.174504280090332,1779248291000,2.1947347640991213,1779247350000
90,2.0958494186401366,1779249278000,2.144388198852539,1779248307000,2.179436683654785,1779247365000
95,2.080508041381836,1779249294000,2.125724220275879,1779248322000,2.164178466796875,1779247384000
100,2.077442169189453,1779249309000,2.128010559082031,1779248338000,2.167086601257324,1779247401000
105,2.0488584518432615,1779249336000,2.0982288360595702,1779248361000,2.1362655639648436,1779247425000
110,2.082814025878906,1779249352000,2.136086845397949,1779248377000,2.1750438690185545,1779247442000
115,2.056316375732422,1779249368000,2.10821418762207,1779248393000,2.1453290939331056,1779247458000
120,2.026289176940918,1779249385000,2.076719856262207,1779248408000,2.1144922256469725,1779247474000
125,2.049524307250977,1779249400000,2.0954376220703126,1779248425000,2.128285217285156,1779247489000
130,2.026096725463867,1779249417000,2.0748363494873048,1779248440000,2.1102230072021486,1779247504000
135,2.0273929595947267,1779249434000,2.0744817733764647,1779248454000,2.1081239700317385,1779247518000
140,2.0125520706176756,1779249450000,2.060878944396973,1779248469000,2.0953533172607424,1779247535000
145,2.089755821228027,1779249465000,2.1389236450195312,1779248483000,2.1758987426757814,1779247550000
150,1.9785411834716795,1779249482000,2.0274206161499024,1779248501000,2.0621524810791017,1779247565000
155,2.02609977722168,1779249498000,2.073841667175293,1779248517000,2.109418487548828,1779247581000
160,2.004994010925293,1779249514000,2.049944305419922,1779248532000,2.0839632034301756,1779247597000
165,1.9717350006103516,1779249530000,2.0135704040527345,1779248547000,2.0461446762084963,1779247612000
170,2.146626663208008,1779249545000,2.195388412475586,1779248560000,2.2324718475341796,1779247624000
175,1.9974739074707029,1779249560000,2.0614086151123048,1779248577000,2.1047407150268556,1779247642000
180,2.0432598114013674,1779249576000,2.1137800216674805,1779248593000,2.1603271484375,1779247656000
185,1.9505475997924804,1779249592000,2.0158916473388673,1779248610000,2.0610681533813477,1779247671000
190,2.070212173461914,1779249608000,2.134337043762207,1779248625000,2.1806854248046874,1779247687000
195,2.0204978942871095,1779249624000,2.0907554626464844,1779248640000,2.1380672454833984,1779247703000
200,1.936111068725586,1779249641000,2.0045989990234374,1779248656000,2.051828956604004,1779247718000
205,1.9557348251342777,1779249667000,2.02307243347168,1779248680000,2.069088363647461,1779247741000
210,1.98441162109375,1779249684000,2.0531686782836913,1779248695000,2.1029306411743165,1779247760000
215,1.9852962493896484,1779249700000,2.04776382446289,1779248710000,2.0910032272338865,1779247776000
220,1.947019386291504,1779249716000,2.011607551574707,1779248729000,2.0584197998046876,1779247792000
225,1.975813674926758,1779249733000,2.0476280212402345,1779248747000,2.09641227722168,1779247808000
230,2.0401479721069338,1779249749000,2.1130146026611327,1779248764000,2.1609941482543946,1779247825000
235,1.9298076629638672,1779249765000,2.0024852752685547,1779248781000,2.053451728820801,1779247842000
240,1.981804084777832,1779249780000,2.0528892517089843,1779248796000,2.1013420104980467,1779247859000
245,2.047603225708008,1779249796000,2.1186649322509767,1779248812000,2.166844940185547,1779247877000
250,1.9960643768310544,1779249812000,2.0624034881591795,1779248828000,2.108521842956543,1779247894000
255,2.0112331390380858,1779249826000,2.078002166748047,1779248842000,2.124003791809082,1779247907000
