step,Qwen3_0.6B_Ltr_SFT_r32_a32_d0-train/train_tokens_per_second_step,Qwen3_0.6B_Ltr_SFT_r32_a32_d0-train/train_tokens_per_second_timestamp,Qwen3_0.6B_Ltr_SFT_r16_a16_d0-train/train_tokens_per_second_step,Qwen3_0.6B_Ltr_SFT_r16_a16_d0-train/train_tokens_per_second_timestamp,Qwen3_0.6B_Ltr_SFT_r8_a8_d0-train/train_tokens_per_second_step,Qwen3_0.6B_Ltr_SFT_r8_a8_d0-train/train_tokens_per_second_timestamp
5,504.117,1779249005000,513.499,1779248046000,509.099,1779247096000
10,628.317,1779249020000,627.175,1779248061000,605.93,1779247112000
15,667.241,1779249035000,666.495,1779248075000,632.645,1779247128000
20,684.901,1779249051000,688.296,1779248091000,661.24,1779247143000
25,671.788,1779249067000,690.782,1779248106000,655.356,1779247160000
30,672.996,1779249083000,692.488,1779248121000,670.213,1779247174000
35,666.126,1779249101000,693.81,1779248137000,673.644,1779247190000
40,665.945,1779249118000,694.854,1779248153000,675.173,1779247206000
45,671.277,1779249134000,697.022,1779248170000,676.182,1779247224000
50,668.552,1779249152000,695.97,1779248186000,680.799,1779247239000
55,666.481,1779249170000,697.902,1779248202000,681.863,1779247256000
60,664.417,1779249187000,699.49,1779248218000,675.64,1779247274000
65,665.66,1779249202000,696.423,1779248234000,675.653,1779247290000
70,673.316,1779249219000,707.632,1779248248000,689.317,1779247304000
75,678.682,1779249234000,712.78,1779248263000,687.231,1779247321000
80,680.461,1779249250000,714.494,1779248278000,689.154,1779247337000
85,683.126,1779249263000,715.281,1779248291000,691.286,1779247350000
90,687.788,1779249278000,715.861,1779248307000,695.381,1779247365000
95,687.946,1779249294000,717.902,1779248322000,691.144,1779247384000
100,690.827,1779249309000,718.944,1779248338000,688.922,1779247401000
105,672.595,1779249336000,703.981,1779248361000,676.12,1779247425000
110,673.746,1779249352000,703.081,1779248377000,674.203,1779247442000
115,676.574,1779249368000,705.957,1779248393000,677.699,1779247458000
120,673.582,1779249385000,706.021,1779248408000,677.161,1779247474000
125,680.324,1779249400000,707.788,1779248425000,683.78,1779247489000
130,681.561,1779249417000,709.856,1779248440000,686.044,1779247504000
135,681.141,1779249434000,713.119,1779248454000,689.783,1779247518000
140,680.598,1779249450000,713.492,1779248469000,689.008,1779247535000
145,680.369,1779249465000,714.368,1779248483000,688.513,1779247550000
150,680.369,1779249482000,711.849,1779248501000,690.301,1779247565000
155,680.907,1779249498000,711.703,1779248517000,690.788,1779247581000
160,681.323,1779249514000,712.327,1779248532000,691.676,1779247597000
165,679.693,1779249530000,711.446,1779248547000,691.286,1779247612000
170,679.234,1779249545000,711.248,1779248560000,692.881,1779247624000
175,679.977,1779249560000,708.967,1779248577000,690.541,1779247642000
180,682.501,1779249576000,711.005,1779248593000,694.564,1779247656000
185,682.003,1779249592000,709.21,1779248610000,695.282,1779247671000
190,682.826,1779249608000,710.24,1779248625000,696.149,1779247687000
195,682.593,1779249624000,709.94,1779248640000,695.58,1779247703000
200,683.09,1779249641000,710.335,1779248656000,696.956,1779247718000
205,672.781,1779249667000,701.259,1779248680000,689.464,1779247741000
210,673.103,1779249684000,703.196,1779248695000,687.875,1779247760000
215,673.538,1779249700000,704.446,1779248710000,687.966,1779247776000
220,673.471,1779249716000,700.659,1779248729000,687.416,1779247792000
225,673.082,1779249733000,698.625,1779248747000,687.62,1779247808000
230,674.454,1779249749000,698.233,1779248764000,687.824,1779247825000
235,674.823,1779249765000,696.866,1779248781000,686.208,1779247842000
240,677.138,1779249780000,698.281,1779248796000,686.792,1779247859000
245,677.475,1779249796000,698.864,1779248812000,685.537,1779247877000
250,678.684,1779249812000,699.835,1779248828000,685.286,1779247894000
255,678.794,1779249826000,699.149,1779248842000,686.848,1779247907000
